date;ID;birth_date;t;exposition;status;w;death;obs;;
17/05/2023;1;03/04/2023;0;Ctrl;J;4,4;0;;;
17/05/2023;2;31/03/2023;0;Ctrl;J;7,1;0;;;
17/05/2023;3;03/04/2023;0;Ctrl;J;8,1;0;;;
17/05/2023;4;03/04/2023;0;Ctrl;J;8,2;0;;;
17/05/2023;5;03/04/2023;0;Ctrl;J;9;0;;;
17/05/2023;6;03/04/2023;0;Ctrl;J;9,6;0;;;
17/05/2023;7;03/04/2023;0;Ctrl;J;9,9;0;;;
17/05/2023;8;03/04/2023;0;Ctrl;J;10,8;0;;;
17/05/2023;9;03/04/2023;0;Ctrl;J;10,8;0;;;270
17/05/2023;10;03/04/2023;0;Ctrl;J;11,3;0;;;
17/05/2023;11;03/04/2023;0;Ctrl;J;11,4;0;;;
17/05/2023;12;03/04/2023;0;Ctrl;J;11,4;0;;;
17/05/2023;13;03/04/2023;0;Ctrl;J;11,6;0;;;
17/05/2023;14;03/04/2023;0;Ctrl;J;11,6;0;;;
17/05/2023;15;03/04/2023;0;Ctrl;J;11,7;0;;;
17/05/2023;16;03/04/2023;0;Ctrl;J;11,8;0;;;
17/05/2023;17;03/04/2023;0;Ctrl;J;12;0;;;
17/05/2023;18;31/03/2023;0;Ctrl;J;12,3;0;;;
17/05/2023;19;03/04/2023;0;Ctrl;J;12,4;0;;;
17/05/2023;20;03/04/2023;0;Ctrl;J;12,9;0;;;
17/05/2023;21;03/04/2023;0;Ctrl;J;13;0;;;
17/05/2023;22;03/04/2023;0;Ctrl;J;13,4;0;;;
17/05/2023;23;03/04/2023;0;Ctrl;J;14,1;0;;;
17/05/2023;24;31/03/2023;0;Ctrl;J;15,3;0;;;
17/05/2023;25;03/04/2023;0;Ctrl;J;15,4;0;;;
17/05/2023;26;31/03/2023;0;Ctrl;J;17,6;0;;;
17/05/2023;27;03/04/2023;0;Ctrl;J;18,4;0;;;
17/05/2023;28;31/03/2023;0;Ctrl;J;20,3;0;;;
17/05/2023;29;31/03/2023;0;Ctrl;J;23,7;0;;;
17/05/2023;30;03/04/2023;0;Ctrl;J;12,9;0;;;
27/04/2023;31;07/04/2023;0;Trt;J;5,2;0;;;
27/04/2023;32;07/04/2023;0;Trt;J;6,6;0;;;
27/04/2023;33;07/04/2023;0;Trt;J;6,6;0;;;
27/04/2023;34;06/04/2023;0;Trt;J;7,9;0;;;
27/04/2023;35;04/04/2023;0;Trt;J;8,9;0;;;
27/04/2023;36;04/04/2023;0;Trt;J;9,8;0;;;
27/04/2023;37;31/03/2023;0;Trt;J;10;0;;;
27/04/2023;38;07/04/2023;0;Trt;J;10,7;0;;;
27/04/2023;39;05/04/2023;0;Trt;J;10,7;0;;;
27/04/2023;40;06/04/2023;0;Trt;J;10,9;0;;;
27/04/2023;41;04/04/2023;0;Trt;J;11,1;0;;;
27/04/2023;42;04/04/2023;0;Trt;J;11,2;0;;;
27/04/2023;43;06/04/2023;0;Trt;J;11,4;0;;;
27/04/2023;44;04/04/2023;0;Trt;J;11,5;0;;;
27/04/2023;45;06/04/2023;0;Trt;J;11,8;0;;;
27/04/2023;46;07/04/2023;0;Trt;J;12,5;0;;;
27/04/2023;47;06/04/2023;0;Trt;J;13;0;;;
